,Date,cruise,uncalibrated PAR,calibrated PAR
83,2021-11-23 03:00:00+00:00,TN397_130,0.0180999999999999,0.011348699999999937
84,2021-11-23 04:00:00+00:00,TN397_130,0.02225,0.01395075
85,2021-11-23 05:00:00+00:00,TN397_130,0.0179,0.0112233
86,2021-11-23 06:00:00+00:00,TN397_130,0.0198,0.012414600000000001
87,2021-11-23 07:00:00+00:00,TN397_130,0.0173,0.0108471
88,2021-11-23 08:00:00+00:00,TN397_130,0.0170999999999999,0.010721699999999936
89,2021-11-23 09:00:00+00:00,TN397_130,0.01805,0.01131735
90,2021-11-23 10:00:00+00:00,TN397_130,0.0202499999999999,0.012696749999999937
91,2021-11-23 11:00:00+00:00,TN397_130,0.02335,0.01464045
92,2021-11-23 12:00:00+00:00,TN397_130,0.0228,0.0142956
93,2021-11-23 13:00:00+00:00,TN397_130,0.02325,0.01457775
94,2021-11-23 14:00:00+00:00,TN397_130,0.03785,0.02373195
95,2021-11-23 15:00:00+00:00,TN397_130,33.75625,21.16516875
96,2021-11-23 16:00:00+00:00,TN397_130,195.0125,122.2728375
97,2021-11-23 17:00:00+00:00,TN397_130,349.5938,219.1953126
98,2021-11-23 18:00:00+00:00,TN397_130,658.03845,412.59010815
99,2021-11-23 19:00:00+00:00,TN397_130,1320.33555,827.85038985
100,2021-11-23 20:00:00+00:00,TN397_130,1395.7932999999998,875.1623990999999
101,2021-11-23 21:00:00+00:00,TN397_130,1279.8745,802.4813115
102,2021-11-23 22:00:00+00:00,TN397_130,1340.14185,840.26893995
103,2021-11-23 23:00:00+00:00,TN397_130,1127.0004,706.6292507999999
104,2021-11-24 00:00:00+00:00,TN397_130,581.708,364.730916
105,2021-11-24 01:00:00+00:00,TN397_130,172.0193,107.85610109999999
106,2021-11-24 02:00:00+00:00,TN397_130,15.3695,9.6366765
107,2021-11-24 03:00:00+00:00,TN397_130,0.0163,0.0102201
108,2021-11-24 04:00:00+00:00,TN397_130,0.0170999999999999,0.010721699999999936
109,2021-11-24 05:00:00+00:00,TN397_130,0.01575,0.00987525
110,2021-11-24 06:00:00+00:00,TN397_130,0.0194,0.0121638
111,2021-11-24 07:00:00+00:00,TN397_130,0.0161,0.0100947
112,2021-11-24 08:00:00+00:00,TN397_130,0.0134,0.008401800000000001
113,2021-11-24 09:00:00+00:00,TN397_130,0.0108,0.0067716
114,2021-11-24 10:00:00+00:00,TN397_130,0.01735,0.010878450000000001
115,2021-11-24 11:00:00+00:00,TN397_130,0.02005,0.012571349999999998
116,2021-11-24 12:00:00+00:00,TN397_130,0.0218,0.0136686
117,2021-11-24 13:00:00+00:00,TN397_130,0.03,0.01881
118,2021-11-24 14:00:00+00:00,TN397_130,0.1547142857142857,0.09700585714285713
119,2021-11-24 17:00:00+00:00,TN397_130,704.2886666666667,441.588994
120,2021-11-24 18:00:00+00:00,TN397_130,1482.95415,929.81225205
121,2021-11-24 19:00:00+00:00,TN397_130,1007.04465,631.41699555
122,2021-11-24 20:00:00+00:00,TN397_130,1700.3356,1066.1104212
123,2021-11-24 21:00:00+00:00,TN397_130,1530.52955,959.64202785
124,2021-11-24 22:00:00+00:00,TN397_130,1311.6301,822.3920727000001
125,2021-11-24 23:00:00+00:00,TN397_130,1471.8588,922.8554676
126,2021-11-25 00:00:00+00:00,TN397_130,627.06845,393.17191815
127,2021-11-25 01:00:00+00:00,TN397_130,199.75105,125.24390835
128,2021-11-25 02:00:00+00:00,TN397_130,53.43745,33.50528115
129,2021-11-25 03:00:00+00:00,TN397_130,0.01815,0.01138005
130,2021-11-25 04:00:00+00:00,TN397_130,0.02235,0.014013449999999998
131,2021-11-25 05:00:00+00:00,TN397_130,0.0193,0.0121011
132,2021-11-25 06:00:00+00:00,TN397_130,0.02015,0.01263405
133,2021-11-25 07:00:00+00:00,TN397_130,0.02375,0.01489125
134,2021-11-25 08:00:00+00:00,TN397_130,0.0246,0.0154242
135,2021-11-25 09:00:00+00:00,TN397_130,0.02515,0.01576905
136,2021-11-25 10:00:00+00:00,TN397_130,0.0235499999999999,0.014765849999999938
137,2021-11-25 11:00:00+00:00,TN397_130,0.0222,0.0139194
138,2021-11-25 12:00:00+00:00,TN397_130,0.0789499999999999,0.04950164999999993
139,2021-11-25 13:00:00+00:00,TN397_130,0.04205,0.02636535
140,2021-11-25 14:00:00+00:00,TN397_130,0.21775,0.13652925
141,2021-11-25 15:00:00+00:00,TN397_130,17.0589,10.6959303
142,2021-11-25 16:00:00+00:00,TN397_130,222.3982,139.4436714
143,2021-11-25 17:00:00+00:00,TN397_130,636.7581,399.2473287
144,2021-11-25 18:00:00+00:00,TN397_130,728.5600000000001,456.80712000000005
145,2021-11-25 19:00:00+00:00,TN397_130,2157.5365,1352.7753855
146,2021-11-25 20:00:00+00:00,TN397_130,1147.1912,719.2888824
147,2021-11-25 21:00:00+00:00,TN397_130,1237.93135,776.18295645
148,2021-11-25 22:00:00+00:00,TN397_130,1378.79585,864.50499795
149,2021-11-25 23:00:00+00:00,TN397_130,1182.3647500000002,741.3426982500001
150,2021-11-26 00:00:00+00:00,TN397_130,669.5223,419.79048209999996
151,2021-11-26 01:00:00+00:00,TN397_130,290.17085000000003,181.93712295000003
152,2021-11-26 02:00:00+00:00,TN397_130,29.70965,18.62795055
153,2021-11-26 03:00:00+00:00,TN397_130,0.0361,0.0226347
154,2021-11-26 04:00:00+00:00,TN397_130,0.0224,0.0140448
155,2021-11-26 05:00:00+00:00,TN397_130,0.0192,0.0120384
156,2021-11-26 06:00:00+00:00,TN397_130,0.0219,0.0137313
157,2021-11-26 07:00:00+00:00,TN397_130,0.0231499999999999,0.014515049999999937
158,2021-11-26 08:00:00+00:00,TN397_130,0.01815,0.01138005
159,2021-11-26 09:00:00+00:00,TN397_130,0.0222,0.0139194
160,2021-11-26 10:00:00+00:00,TN397_130,0.02475,0.01551825
161,2021-11-26 11:00:00+00:00,TN397_130,0.0207499999999999,0.013010249999999937
162,2021-11-26 12:00:00+00:00,TN397_130,0.0224,0.0140448
163,2021-11-26 13:00:00+00:00,TN397_130,0.0213,0.0133551
164,2021-11-26 14:00:00+00:00,TN397_130,0.0243999999999999,0.015298799999999937
165,2021-11-26 15:00:00+00:00,TN397_130,94.66665,59.355989550000004
166,2021-11-26 16:00:00+00:00,TN397_130,1158.7887,726.5605149
167,2021-11-26 17:00:00+00:00,TN397_130,1681.913,1054.559451
168,2021-11-26 18:00:00+00:00,TN397_130,1578.4283,989.6745441
169,2021-11-26 19:00:00+00:00,TN397_130,1065.3177,667.9541979
170,2021-11-26 20:00:00+00:00,TN397_130,1193.94085,748.60091295
171,2021-11-26 21:00:00+00:00,TN397_130,1115.60255,699.48279885
172,2021-11-26 22:00:00+00:00,TN397_130,1872.90455,1174.31115285
173,2021-11-26 23:00:00+00:00,TN397_130,1927.3225,1208.4312075
174,2021-11-27 00:00:00+00:00,TN397_130,1363.3870499999998,854.8436803499999
175,2021-11-27 01:00:00+00:00,TN397_130,433.4759,271.78938930000004
176,2021-11-27 02:00:00+00:00,TN397_130,86.58624999999999,54.28957875
177,2021-11-27 03:00:00+00:00,TN397_130,0.0706,0.0442662
178,2021-11-27 04:00:00+00:00,TN397_130,0.0186666666666666,0.011703999999999957
179,2021-11-27 05:00:00+00:00,TN397_130,0.0191,0.011975699999999999
180,2021-11-27 06:00:00+00:00,TN397_130,0.01875,0.01175625
181,2021-11-27 07:00:00+00:00,TN397_130,0.01865,0.01169355
182,2021-11-27 08:00:00+00:00,TN397_130,0.0185,0.011599499999999999
183,2021-11-27 09:00:00+00:00,TN397_130,0.02275,0.01426425
184,2021-11-27 10:00:00+00:00,TN397_130,0.0237999999999999,0.014922599999999939
185,2021-11-27 11:00:00+00:00,TN397_130,0.02175,0.013637249999999998
186,2021-11-27 12:00:00+00:00,TN397_130,0.02585,0.016207950000000002
187,2021-11-27 13:00:00+00:00,TN397_130,0.0279,0.0174933
188,2021-11-27 14:00:00+00:00,TN397_130,0.0306999999999999,0.019248899999999937
