time,lat,lon,depth,temp,cond,sal,dens,flu,par_z,par_surface,light_level,kpar,ed412,ed442,ed488,ed490,ed510,ed530,ed550,ed554,ed560,ed620,ed664,ed666,ed670,ed678,ed682,ed708,ed748,ed754,ed760,ed764,ed778,lu412,lu442,lu488,lu490,lu510,lu530,lu550,lu554,lu560,lu620,lu664,lu666,lu670,lu678,lu682,lu708,lu748,lu754,lu760,lu764,lu778,es412,es442,es488,es490,es510,es530,es550,es554,es560,es620,es664,es666,es670,es678,es682,es708,es748,es754,es760,es764,es778
2022-08-06T22:04:11.000Z,23.41,-154.621,11,25.87,54.34,35.26,1023.32,0.066,717.97,1775.07,40.37,-0.01,69.28,90.76,110.92,111.02,98.66,90.96,81.28,78.63,74.88,8.54,2.19,2.16,1.86,1.61,1.37,0.25,0.11,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.78,121.1,137.13,137.65,138.56,139.68,140.11,139.55,137.75,131.64,125.3,125.66,125.51,123.77,120.04,113.16,108.48,101.66,78.1,77.25,103.24
2022-08-06T22:04:14.000Z,23.41,-154.621,12,25.85,54.31,35.25,1023.32,0.06,726.22,1773.65,40.83,0.24,69.99,93.37,115.98,116.11,101.84,93.12,82.21,79.27,75.25,6.82,1.51,1.41,1.22,0.97,0.79,0.22,0,0,0,0,0,0.566,0.67,0.768,0.758,0.478,0.344,0.235,0.217,0.188,0,0.009,0.008,0.007,0.004,0.003,0,0.004,0,0,0,0,102.09,120.94,137.32,137.99,138.72,139.42,139.8,139.28,137.97,131.45,125.44,125.95,125.52,123.33,120.11,112.98,108.18,101.95,77.83,76.87,102.88
2022-08-06T22:04:16.000Z,23.41,-154.621,13,25.82,54.27,35.25,1023.34,0.105,573.8,1773.34,32.26,-0.14,56.77,75.44,93.3,93.35,81.03,73.34,64.07,61.57,58.27,4.58,0.94,0.79,0.9,0.75,0.51,0.17,0,0,0.17,0,0,0.496,0.597,0.699,0.691,0.43,0.304,0.206,0.189,0.165,0,0.006,0,0.006,0.004,0.007,0.003,0,0,0.006,0,0,102.34,121.08,137.25,137.86,138.64,139.5,139.75,139.31,137.83,131.28,125.62,126.08,125.39,123.43,120.12,112.83,108.32,101.9,77.75,76.67,102.71
2022-08-06T22:04:18.000Z,23.41,-154.621,14,25.82,54.27,35.25,1023.34,0.101,660.45,1773.98,37.13,0.28,64.02,86.85,109.69,109.73,94.47,85.16,73.81,70.85,66.76,4.49,0.87,0.82,0.74,0.67,0.57,0.18,0,0,0,0,0,0.488,0.596,0.705,0.697,0.437,0.307,0.208,0.19,0.167,0.003,0,0,0.009,0.008,0.007,0.002,0,0,0.006,0,0,102.2,121.18,137.3,138.02,138.78,139.61,139.75,139.23,138.05,131.07,125.86,126.42,125.45,123.36,120.5,112.62,108.11,102.57,77.19,76.36,102.38
2022-08-06T22:04:20.000Z,23.41,-154.621,15,25.82,54.27,35.25,1023.35,0.106,501.66,1775.55,28.2,-0.08,50.04,67.77,85.21,85.16,72.15,64.08,54.68,52.26,48.97,2.83,0.52,0.54,0.59,0.34,0.39,0,0,0,0,0,0,0.452,0.555,0.669,0.662,0.412,0.289,0.195,0.178,0.156,0.006,0,0,0.009,0.011,0.008,0.004,0,0,0,0,0,102.3,121.04,137.66,138.25,138.81,139.6,139.82,139.41,138.23,131.27,125.78,126.2,125.63,123.56,120.39,112.81,108.36,102.26,77.65,76.71,102.61
2022-08-06T22:04:22.000Z,23.41,-154.621,16,25.82,54.27,35.25,1023.35,0.089,547.8,1780.96,30.8,0.16,53.19,73.5,94.54,94.51,79.71,70.7,60.15,57.44,53.81,2.83,0.39,0.39,0.38,0.21,0.15,0,0,0.1,0,0,0,0.421,0.517,0.63,0.621,0.386,0.271,0.183,0.165,0.148,0.008,0.001,0,0.01,0.014,0.01,0.007,0,0.007,0.009,0,0.004,102.44,121.65,137.64,138.43,139.51,140.31,140.44,139.7,138.59,131.77,126,126.62,126.24,123.71,120.84,113.31,108.26,102.84,78.18,76.79,103
2022-08-06T22:04:24.000Z,23.41,-154.621,17,25.81,54.27,35.25,1023.36,0.132,470.38,1787.26,26.45,0,46.26,64.19,82.99,82.94,68.89,60.42,50.65,48.2,44.94,2.1,0.28,0.19,0.26,0.08,0.11,0,0,0,0,0,0,0.38,0.476,0.594,0.585,0.361,0.251,0.169,0.151,0.134,0.007,0,0.004,0.008,0.009,0.008,0,0.001,0,0,0,0,102.74,122.03,138.21,138.99,139.85,140.72,140.87,140.31,139.02,132.34,126.48,126.92,126.22,124.46,121.28,113.6,109.13,102.92,77.96,77.21,103.28
2022-08-06T22:04:26.000Z,23.41,-154.621,18,25.81,54.27,35.25,1023.36,0.094,469.33,1785.87,26.39,0.1,45.89,64.42,83.98,83.97,69.26,60.37,50.14,47.69,44.31,1.87,0.39,0.29,0.36,0.09,0,0,0,0,0,0,0,0.361,0.457,0.575,0.566,0.351,0.245,0.163,0.145,0.129,0.008,0,0.005,0.003,0.008,0.008,0,0.001,0,0,0.003,0,102.77,121.72,138.32,139.04,139.67,140.5,140.67,140.22,138.94,132.14,126.51,127.01,126.42,124.17,121.08,113.64,108.86,102.91,78.19,77.12,103.39
2022-08-06T22:04:29.000Z,23.41,-154.621,19,25.8,54.26,35.26,1023.37,0.109,422.36,1783.37,23.75,0.1,41.33,58.35,76.64,76.61,62.59,54.23,44.65,42.39,39.25,1.45,0.2,0.22,0.11,0,0,0,0,0,0,0,0,0.323,0.419,0.539,0.533,0.326,0.226,0.149,0.135,0.117,0.005,0.004,0.004,0.003,0.007,0.006,0,0.001,0,0,0,0,102.75,121.83,137.82,138.57,139.58,140.62,140.76,139.97,138.53,132.57,125.67,126.38,126.84,123.82,120.36,114.05,108.38,102.17,79.03,77.02,104.03
2022-08-06T22:04:31.000Z,23.41,-154.621,20,25.76,54.25,35.28,1023.4,0.189,383.19,1782.29,21.54,0.09,37.46,53.57,71.05,71.01,57.24,48.93,39.88,37.6,34.7,1.18,0,0,0.1,0.07,0,0,0,0,0,0,0,0.293,0.387,0.505,0.499,0.303,0.208,0.137,0.125,0.109,0.002,0.004,0.003,0.004,0.008,0.005,0,0.002,0,0,0,0,102.88,121.66,137.78,138.45,139.44,140.35,140.57,139.94,138.52,132.34,125.77,126.48,126.48,123.79,120.54,113.67,108.43,102.39,78.61,76.97,103.6
2022-08-06T22:04:33.000Z,23.41,-154.621,21,25.76,54.29,35.31,1023.43,0.176,348.28,1776.52,19.58,0.01,33.73,48.91,65.84,65.8,52.48,44.5,35.79,33.61,30.91,0.94,0,0,0.11,0.11,0,0,0,0,0,0,0,0.267,0.358,0.478,0.473,0.284,0.193,0.126,0.114,0.099,0.002,0.005,0.003,0.004,0.007,0.004,0,0,0.001,0,0,0,102.94,121.38,137.09,137.69,138.85,139.9,140.39,139.71,137.85,131.99,125.29,125.69,125.84,123.66,119.96,113.61,108.45,101.56,78.52,77.19,103.43
2022-08-06T22:04:35.000Z,23.41,-154.621,22,25.85,54.45,35.36,1023.45,0.165,345.1,1771.87,19.4,0,32.61,47.92,65.7,65.68,52.25,44.34,35.63,33.45,30.79,0.95,0,0.27,0,0.1,0,0.09,0,0,0,0,0,0.254,0.346,0.465,0.459,0.274,0.188,0.122,0.109,0.097,0,0.001,0.004,0.003,0.008,0.003,0,0,0.001,0.001,0,0.002,102.38,120.84,137.12,137.68,138.38,139.25,139.68,139.32,137.78,131.14,125.62,125.78,125,123.57,120.11,112.6,108.44,101.99,77.27,76.77,102.31
2022-08-06T22:04:37.000Z,23.41,-154.621,23,25.89,54.52,35.38,1023.45,0.125,342.76,1767.68,19.27,0.11,31.81,47.44,66.17,66.12,52.38,44.08,35.2,32.97,30.26,0.7,0,0,0.14,0.11,0.08,0,0,0,0,0,0.19,0.239,0.329,0.45,0.445,0.265,0.18,0.117,0.104,0.092,0.001,0.002,0,0.004,0.006,0.005,0,0.001,0,0,0,0,102.19,120.8,136.53,137.21,138.2,139.23,139.58,138.97,137.21,131.43,124.41,124.77,125.15,123.15,119.11,113.1,108.06,100.88,77.94,77.14,103.14
2022-08-06T22:04:39.000Z,23.41,-154.621,24,25.86,54.48,35.37,1023.46,0.145,308.4,1768.06,17.34,0.07,28.51,43.03,60.78,60.75,47.4,39.5,31.02,29.06,26.47,0.57,0,0,0,0.13,0,0,0,0,0,0.11,0,0.207,0.29,0.405,0.401,0.235,0.159,0.102,0.09,0.08,0.003,0,0.001,0.005,0.005,0.003,0,0,0,0,0,0,102.04,120.54,136.76,137.37,138.3,139.08,139.36,138.94,137.51,130.9,125.03,125.49,125.08,123.11,119.73,112.52,107.91,101.56,77.43,76.71,102.4
2022-08-06T22:04:41.000Z,23.41,-154.621,25,25.84,54.45,35.36,1023.46,0.14,287.92,1775.62,16.19,0.03,26.49,40.41,57.56,57.54,44.36,36.82,28.59,26.69,24.29,0.69,0,0,0,0,0,0,0,0,0,0,0,0.189,0.27,0.385,0.382,0.223,0.15,0.094,0.086,0.074,0.004,0,0,0.006,0.005,0.004,0.002,0,0,0.003,0,0,102.57,121.49,136.99,137.77,138.99,140.02,140.27,139.4,137.78,131.98,125.13,125.94,126.13,123.26,119.9,113.46,107.93,101.99,78.36,76.71,103.4
2022-08-06T22:04:44.000Z,23.41,-154.621,26,25.82,54.42,35.36,1023.48,0.145,278.71,1777.5,15.67,0.1,25.44,39.1,56.25,56.19,43.08,35.49,27.43,25.57,23.18,0.61,0,0,0.06,0,0.05,0,0,0,0,0,0,0.18,0.262,0.379,0.376,0.22,0.149,0.093,0.084,0.073,0.005,0,0,0.004,0.005,0.005,0.002,0,0,0.001,0.003,0,102.32,121.05,137.84,138.46,139.15,139.7,139.99,139.63,138.4,131.58,125.64,126.15,125.93,123.54,120.34,113.34,108.45,102.17,78.05,76.98,103.08
2022-08-06T22:04:46.000Z,23.41,-154.621,27,25.76,54.37,35.36,1023.5,0.192,252.64,1779.69,14.2,0.08,22.79,35.51,51.82,51.76,39.22,32.03,24.47,22.71,20.54,0.52,0,0,0,0.01,0.04,0.04,0,0,0,0,0,0.16,0.235,0.347,0.345,0.2,0.135,0.083,0.074,0.064,0.005,0.002,0.002,0,0.005,0.004,0,0,0,0,0,0,102.62,121.02,138.08,138.52,139.05,139.65,140.08,139.99,138.5,131.47,126.12,126.44,125.57,124,120.71,113.04,108.95,102.46,77.57,77.15,102.82
