,Unnamed: 0,time,licor_par,cruise,pop,n_per_uL,c_per_uL,lat,lon,temp,salinity,par,diam_med,hour,round_lat,round_lon,scalar,chla_eco,sat_par,sun_zen_angle,new_sun_zen,transmission
304,304,2021-12-04 12:00:00+00:00,0.03251675,TN397_740,prochloro,61.51506514,3.118834854,0.10334375,-139.9090408,24.743285,34.76858792,0.0277,0.050700342,12,0.0,-140.0,8.512397,1.1870658105832956,0.0173679,133.0685249466181,46.93147505338189,0.5959829627069203
305,305,2021-12-04 13:00:00+00:00,-0.0086933683333333,TN397_740,prochloro,57.45233989,2.86340127,0.128827724,-139.9153293,24.73266708,34.76483285,0.02725,0.049839594,13,0.0,-140.0,8.572765,1.0959965731121797,0.0171599999999999,119.8689929111395,60.1310070888605,0.5859428166322439
306,306,2021-12-04 14:00:00+00:00,0.236656511,TN397_740,prochloro,53.50957633,2.620326763,0.143765544,-139.910846,24.74176742,34.77128656,1.139578947,0.048969305,14,0.0,-140.0,8.679302,0.918081058041236,0.5545188,106.20906452335078,73.79093547664922,0.5768998701029414
307,307,2021-12-04 15:00:00+00:00,69.41061333333333,TN397_740,prochloro,70.21520964,4.262636061,0.162146667,-139.9160812,24.73734042,34.77157708,330.88275,0.060708158,15,0.0,-140.0,8.945835,0.2682575499406726,187.90660185,92.25547458746868,87.74452541253132,0.5812374961491957
308,308,2021-12-04 16:00:00+00:00,410.86966666666666,TN397_740,prochloro,73.1015779,4.699531323,0.181795417,-139.9227821,24.71811083,34.76687667,1309.8643,0.064287686,16,0.0,-140.0,9.183304,0.6284135593009931,830.95968285,78.45732620050852,78.45732620050852,0.5775363981852542
309,309,2021-12-04 17:00:00+00:00,780.9205000000001,TN397_740,prochloro,76.66438969,5.104222589,0.199280256,-139.9294611,24.77365885,34.77193596,1879.1385,0.066578794,17,0.0,-140.0,9.168052,0.4931889712359252,1120.0824558000002,64.76728932528832,64.76728932528832,0.5848067311194429
310,310,2021-12-04 18:00:00+00:00,1315.3566666666666,TN397_740,prochloro,76.64044114,5.376922608,0.2154785,-139.9301497,24.81961342,34.7753445,2294.9674,0.070157772,18,0.0,-140.0,8.863154,0.316536769592594,1434.20597595,51.39120959051886,51.39120959051886,0.5938561385682177
311,311,2021-12-04 19:00:00+00:00,1496.9466666666667,TN397_740,prochloro,78.01147723,5.670546914,0.22079,-139.9280529,24.84538708,34.77598292,2336.74335,0.072688624,19,0.0,-140.0,8.390404,0.2857332646379822,1486.5604446000002,38.80002036814569,38.80002036814569,0.601920706380499
312,312,2021-12-04 20:00:00+00:00,1577.448666666667,TN397_740,prochloro,76.27046258,5.884837281,0.228607083,-139.9207529,24.85795208,34.78001792,2174.92485,0.077157488,20,0.0,-140.0,8.4297285,0.2718356432868274,1419.11640585,28.1569715951312,28.1569715951312,0.6099065902141179
313,313,2021-12-04 21:00:00+00:00,1575.672,TN397_740,prochloro,61.30064929,5.191419125,0.241968269,-139.912926,24.90682234,34.78725115,2197.88125,0.084687833,21,0.0,-140.0,8.594398,0.2923684461462878,1366.79601465,22.486069302094744,22.486069302094744,0.6145652019210441
314,314,2021-12-04 22:00:00+00:00,1801.9466666666667,TN397_740,prochloro,57.61648071,4.938843947,0.256715833,-139.9046607,24.96343383,34.78899292,2426.0527,0.085719292,22,0.5,-140.0,7.9014034,0.2493907025421387,1521.17225535,25.835884360282307,25.835884360282307,0.6103850550002395
315,315,2021-12-04 23:00:00+00:00,1449.1453333333334,TN397_740,prochloro,50.7042225,4.518037687,0.263209649,-139.8921794,25.02865088,34.80008904,2207.696,0.089105748,23,0.5,-140.0,7.8224416,0.2846246164219728,1382.2934482500002,35.11564130954297,35.11564130954297,0.6031851849001775
316,316,2021-12-05 01:00:00+00:00,655.9598333333332,TN397_740,prochloro,50.67483617,4.968764067,0.267702917,-139.865635,25.021785,34.81032583,1604.31545,0.098051902,1,0.5,-140.0,7.4961166,0.4756409770801688,1005.90578715,60.28229926562986,60.28229926562986,0.5820130023172416
317,317,2021-12-05 02:00:00+00:00,242.98801666666665,TN397_740,prochloro,46.39222372,5.014109104,0.280930829,-139.8692921,25.00923216,34.81327429,724.7593,0.10808081,2,0.5,-140.0,7.327557,0.5823795166428711,466.5328305,73.87513758965281,73.87513758965281,0.5714051012451061
