cruise,Cruise ID,Project,R2R doi,Location,Year,Month,Day Of Year,Instrument,Ship,Operator,S3,Realtime DB,Discrete samples,Beads,Metadata,Filtration,Gating,Curation,Zenodo,Database size (Gb),References,Comments
Thompson_12,TN292,Transit,10.7284/904039,Seattle - Hawaii,2013,March,,740,R/V Thomas G Thompson,Ribalet - Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.9,,no PAR data in the underway files from R2R
DeepDOM,KN210-04,DeepDOM,10.7284/900547,South Atlantic,2013,March ,,989,R/V Knorr,Hennon,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,75,Howard et al. 2017,
CMOP_5,CMOP_5,CMOP,,Columbia River,2013,June,166 - 179,989,SATURN-03,,,,,,,,,,,,,Pilot project to test instrument; no navigation data; duplicate filenames
KiloMoana_1,KM1314,-,10.7284/902962,Seattle - Hawaii,2013,August,,740,R/V Kilo Moana,Tuck,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,Heal et al. 2017,D2 PMT too low; 3 fsc settings
CMOP_6,CMOP_6,CMOP,,Columbia River,2013,September,252 - 275,989,SATURN-03,Morales - Swalwell - Ribalet,TRUE,FALSE,FALSE,TRUE,,,,,,,Hamilton et al. 2017,saturating beads signal; no navigation data
MBARI_3,CN13ID,CalCoFI line 67,,California current,2013,October,,989,R/V Western Flyer,Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,,not consistent beads fsc signal?
MV1405,MV1405,-,10.7284/904099,California current,2014,July,,740,R/V Melville,Clayton,,,,,,,,,,,,low quality seaflow data
SCOPE_1,KM1427,C-MORE,10.7284/904735,Aloha,2014,December,342-346,740,R/V Kilo Moana,Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.7,,"Initially misidentified as HOT-268, which was a few days later (KM1428). This was Dan Repeta's cruise to collect natural radiocarbon samples."
SCOPE_2,KM1502,HOE-Legacy 1,10.7284/901803,Portland - Hawaii,2015,March,,740,R/V Kilo Moana,Ribalet,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8.4,,
SCOPE_3,KM1508,HOT-272,10.7284/901823,Aloha,2015,May,,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6.2,,
SCOPE_4,KM1510,HOT-273,10.7284/906351,Aloha,2015,June,,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,,gap in SeaFlow data due to high event rates
SCOPE_5,KM1512,HOT-274,10.7284/906353,Aloha,2015,July,,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.5,,
SCOPE_6,KM1513,HOE-Legacy 2A,10.7284/906354,Aloha,2015,July,,740,R/V Kilo Moana,Ribalet,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,13,Wilson et al. 2017,
SCOPE_7_DLM,,HOE-Legacy 2A,10.7284/906354,Aloha,2015,July,,751,R/V Kilo Moana,Ribalet,,,,,,,,,,,,Incubation experiments
SCOPE_9,KOK1512,HOT-276,10.7284/906366,Aloha,2015,September,,751,R/V Kaimikai O Kanaloa,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,"SeaFlow computer not set to GMT. Storm - few data points; Ship left Sept 24, returned Sept 24 (KOK1511), and departed again Sept 26, returning Sept 28 (KOK1512). SFL missing some LAT/LON and other data but navigation and tsg data not available from HOT site. "
SCOPE_10,KOK1515,HOT-277,10.7284/906369,Aloha,2015,October,,751,R/V Kaimikai O Kanaloa,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,SeaFlow computer not set to GMT.
SCOPE_11,KM1518,HOT-278,10.7284/906359,Aloha,2015,November,,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.6,,
SCOPE_12,KM1601,HOT-280,10.7284/906869,Aloha,2016,January,,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6.1,,
