cruise,Cruise ID,Project,R2R doi,Location,Year,Month,Day Of Year,Instrument,Ship,Operator,S3,Realtime DB,Discrete samples,Beads,Metadata,Filtration,Gating,Curation,Zenodo,Database size (Gb),References,Comments
KOK1806,KOK1806,LAVA,10.7284/908046,Hawaii,2018,July,194 - 198,751,R/V Kaimikai O Kanaloa,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.6,Wilson et al. 2019,Double check when 740 and 751 were swapped in Hawaii
HOT304,KOK1807,HOT-304,10.7284/908047,Aloha,2018,July,204 - 208,751,R/V Kaimikai O Kanaloa,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Beads are few but present; wall of particles at high fsc
HOT307,KM1821,HOT-307,,Aloha,2018,November,319 - 323,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Prochlorococcus are on edge of detection
HOT308,KM1823,HOT-308,,Aloha,2018,December,344 - 346,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Extra short cruise
GP15_1,RR1814,GEOTRACES,10.7284/908061,Seattle - Hilo,2018,October,257 - 294,751,R/V Roger Revelle,Einarsson,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Poor data quality (bad focuse); Bad pump; PAR data way too high
GP15_2,RR1815,GEOTRACES,10.7284/908063,Hilo - Papeete,2018,November,298 - 328,751,R/V Roger Revelle,Einarsson,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,"Pump replaced! Stream moving  A LOT (storm) Strange ""loaf of bread"" population near Equatorial upwelling; SFL metadata stuck on single value during Oct 29 - 30 and replaced with values from shipboard met file"
HOT309,KM1901,HOT-309,10.7284/908117,Aloha,2019,January,014 - 018,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
HOT310,KM1903,HOT-310,10.7284/908234,Aloha,2019,February,049 - 052,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Event rates are mostly < 5000
KM1906,KM1906,Gradients 2019,10.7284/908236,Subtropical front,2019,April,100 - 119,740,R/V Kilo Moana,Hynes,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,"SFL files have extra null character/eol character; T, S and C are swapped; heading saved as PAR"
KM1906_towfish,KM1906-tf,Gradients 2019,,Subtropical front,2019,April,,751,R/V Kilo Moana,Hynes,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,"From TowFish.  Difficult to keep D1/D2 within acceptable range; SFL files have extra null character/eol character; T, S and C are swapped; heading saved as PAR"
HOT312,KM1909,HOT-312,10.7284/908258,Aloha,2019,June,161 - 165,740,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,EVT data missing from first 2 days; SFL files have extra null character/eol character; TSG data not yet available--variable swap in SFL; beads are few and sporadic
